ぜんこくNo.,名前,フォルム,英語名,タイプ1,タイプ2,HP,攻撃,防御,特攻,特防,素早さ,特性1,特性2,夢特性
1,フシギダネ,,Bulbasaur,くさ,どく,45,49,49,65,65,45,しんりょく,,*ようりょくそ
2,フシギソウ,,Ivysaur,くさ,どく,60,62,63,80,80,60,しんりょく,,*ようりょくそ
3,フシギバナ,,Venusaur,くさ,どく,80,82,83,100,100,80,しんりょく,,*ようりょくそ
4,ヒトカゲ,,Charmander,ほのお,,39,52,43,60,50,65,もうか,,*サンパワー
5,リザード,,Charmeleon,ほのお,,58,64,58,80,65,80,もうか,,*サンパワー
6,リザードン,,Charizard,ほのお,ひこう,78,84,78,109,85,100,もうか,,*サンパワー
7,ゼニガメ,,Squirtle,みず,,44,48,65,50,64,43,げきりゅう,,*あめうけざら
8,カメール,,Wartortle,みず,,59,63,80,65,80,58,げきりゅう,,*あめうけざら
9,カメックス,,Blastoise,みず,,79,83,100,85,105,78,げきりゅう,,*あめうけざら
10,キャタピー,,Caterpie,むし,,45,30,35,20,20,45,りんぷん,,*にげあし
11,トランセル,,Metapod,むし,,50,20,55,25,25,30,だっぴ,,
12,バタフリー,,Butterfree,むし,ひこう,60,45,50,90,80,70,ふくがん,,*いろめがね
13,ビードル,,Weedle,むし,どく,40,35,30,20,20,50,りんぷん,,*にげあし
14,コクーン,,Kakuna,むし,どく,45,25,50,25,25,35,だっぴ,,
15,スピアー,,Beedrill,むし,どく,65,90,40,45,80,75,むしのしらせ,,*スナイパー
16,ポッポ,,Pidgey,ノーマル,ひこう,40,45,40,35,35,56,するどいめ,ちどりあし,*はとむね
17,ピジョン,,Pidgeotto,ノーマル,ひこう,63,60,55,50,50,71,するどいめ,ちどりあし,*はとむね
18,ピジョット,,Pidgeot,ノーマル,ひこう,83,80,75,70,70,101,するどいめ,ちどりあし,*はとむね
19,コラッタ,通常,Rattata,ノーマル,,30,56,35,25,35,72,にげあし,こんじょう,*はりきり
19,コラッタ,アローラのすがた,Rattata,あく,ノーマル,30,56,35,25,35,72,くいしんぼう,はりきり,*あついしぼう
20,ラッタ,通常,Raticate,ノーマル,,55,81,60,50,70,97,にげあし,こんじょう,*はりきり
20,ラッタ,アローラのすがた,Raticate,あく,ノーマル,75,71,70,40,80,77,くいしんぼう,はりきり,*あついしぼう
21,オニスズメ,,Spearow,ノーマル,ひこう,40,60,30,31,31,70,するどいめ,,*スナイパー
22,オニドリル,,Fearow,ノーマル,ひこう,65,90,65,61,61,100,するどいめ,,*スナイパー
23,アーボ,,Ekans,どく,,35,60,44,40,54,55,いかく,だっぴ,*きんちょうかん
24,アーボック,,Arbok,どく,,60,95,69,65,79,80,いかく,だっぴ,*きんちょうかん
25,ピカチュウ,,Pikachu,でんき,,35,55,40,50,50,90,せいでんき,,*ひらいしん
26,ライチュウ,通常,Raichu,でんき,,60,90,55,90,80,110,せいでんき,,*ひらいしん
26,ライチュウ,アローラのすがた,Raichu,でんき,エスパー,60,85,50,95,85,110,サーフテール,,
27,サンド,通常,Sandshrew,じめん,,50,75,85,20,30,40,すながくれ,,*すなかき
27,サンド,アローラのすがた,Sandshrew,こおり,はがね,50,75,90,10,35,40,ゆきがくれ,,*ゆきかき
28,サンドパン,通常,Sandslash,じめん,,75,100,110,45,55,65,すながくれ,,*すなかき
28,サンドパン,アローラのすがた,Sandslash,こおり,はがね,75,100,120,25,65,65,ゆきがくれ,,*ゆきかき
29,ニドラン♀,,Nidoran♀,どく,,55,47,52,40,40,41,どくのトゲ,とうそうしん,*はりきり
30,ニドリーナ,,Nidorina,どく,,70,62,67,55,55,56,どくのトゲ,とうそうしん,*はりきり
31,ニドクイン,,Nidoqueen,どく,じめん,90,92,87,75,85,76,どくのトゲ,とうそうしん,*ちからずく
32,ニドラン♂,,Nidoran♂,どく,,46,57,40,40,40,50,どくのトゲ,とうそうしん,*はりきり
33,ニドリーノ,,Nidorino,どく,,61,72,57,55,55,65,どくのトゲ,とうそうしん,*はりきり
34,ニドキング,,Nidoking,どく,じめん,81,102,77,85,75,85,どくのトゲ,とうそうしん,*ちからずく
35,ピッピ,,Clefairy,フェアリー,,70,45,48,60,65,35,メロメロボディ,マジックガード,*フレンドガード
36,ピクシー,,Clefable,フェアリー,,95,70,73,95,90,60,メロメロボディ,マジックガード,*てんねん
37,ロコン,アローラのすがた,Vulpix,こおり,,38,41,40,50,65,65,ゆきがくれ,,*ゆきふらし
37,ロコン,通常,Vulpix,ほのお,,38,41,40,50,65,65,もらいび,,*ひでり
38,キュウコン,アローラのすがた,Ninetales,こおり,フェアリー,73,67,75,81,100,109,ゆきがくれ,,*ゆきふらし
38,キュウコン,通常,Ninetales,ほのお,,73,76,75,81,100,100,もらいび,,*ひでり
39,プリン,,Jigglypuff,ノーマル,フェアリー,115,45,20,45,25,20,メロメロボディ,かちき,*フレンドガード
40,プクリン,,Wigglytuff,ノーマル,フェアリー,140,70,45,85,50,45,メロメロボディ,かちき,*おみとおし
41,ズバット,,Zubat,どく,ひこう,40,45,35,30,40,55,せいしんりょく,,*すりぬけ
42,ゴルバット,,Golbat,どく,ひこう,75,80,70,65,75,90,せいしんりょく,,*すりぬけ
43,ナゾノクサ,,Oddish,くさ,どく,45,50,55,75,65,30,ようりょくそ,,*にげあし
44,クサイハナ,,Gloom,くさ,どく,60,65,70,85,75,40,ようりょくそ,,*あくしゅう
45,ラフレシア,,Vileplume,くさ,どく,75,80,85,110,90,50,ようりょくそ,,*ほうし
46,パラス,,Paras,むし,くさ,35,70,55,45,55,25,ほうし,かんそうはだ,*しめりけ
47,パラセクト,,Parasect,むし,くさ,60,95,80,60,80,30,ほうし,かんそうはだ,*しめりけ
48,コンパン,,Venonat,むし,どく,60,55,50,40,55,45,ふくがん,いろめがね,*にげあし
49,モルフォン,,Venomoth,むし,どく,70,65,60,90,75,90,りんぷん,いろめがね,*ミラクルスキン
50,ディグダ,通常,Diglett,じめん,,10,55,25,35,45,95,すながくれ,ありじごく,*すなのちから
50,ディグダ,アローラのすがた,Diglett,じめん,はがね,10,55,30,35,45,90,すながくれ,カーリーヘアー,*すなのちから
51,ダグトリオ,通常,Dugtrio,じめん,,35,100,50,50,70,120,すながくれ,ありじごく,*すなのちから
51,ダグトリオ,アローラのすがた,Dugtrio,じめん,はがね,35,100,60,50,70,110,すながくれ,カーリーヘアー,*すなのちから
52,ニャース,ガラルのすがた,Meowth,はがね,,50,65,55,40,40,40,ものひろい,かたいツメ,*きんちょうかん
52,ニャース,通常,Meowth,ノーマル,,40,45,35,40,40,90,ものひろい,テクニシャン,*きんちょうかん
52,ニャース,アローラのすがた,Meowth,あく,,40,35,35,50,40,90,ものひろい,テクニシャン,*びびり
53,ペルシアン,通常,Persian,ノーマル,,65,70,60,65,65,115,じゅうなん,テクニシャン,*きんちょうかん
53,ペルシアン,アローラのすがた,Persian,あく,,65,60,60,75,65,115,ファーコート,テクニシャン,*びびり
54,コダック,,Psyduck,みず,,50,52,48,65,50,55,しめりけ,ノーてんき,*すいすい
55,ゴルダック,,Golduck,みず,,80,82,78,95,80,85,しめりけ,ノーてんき,*すいすい
56,マンキー,,Mankey,かくとう,,40,80,35,35,45,70,やるき,いかりのつぼ,*まけんき
57,オコリザル,,Primeape,かくとう,,65,105,60,60,70,95,やるき,いかりのつぼ,*まけんき
58,ガーディ,,Growlithe,ほのお,,55,70,45,70,50,60,いかく,もらいび,*せいぎのこころ
59,ウインディ,,Arcanine,ほのお,,90,110,80,100,80,95,いかく,もらいび,*せいぎのこころ
60,ニョロモ,,Poliwag,みず,,40,50,40,40,40,90,ちょすい,しめりけ,*すいすい
61,ニョロゾ,,Poliwhirl,みず,,65,65,65,50,50,90,ちょすい,しめりけ,*すいすい
62,ニョロボン,,Poliwrath,みず,かくとう,90,95,95,70,90,70,ちょすい,しめりけ,*すいすい
63,ケーシィ,,Abra,エスパー,,25,20,15,105,55,90,シンクロ,せいしんりょく,*マジックガード
64,ユンゲラー,,Kadabra,エスパー,,40,35,30,120,70,105,シンクロ,せいしんりょく,*マジックガード
65,フーディン,,Alakazam,エスパー,,55,50,45,135,95,120,シンクロ,せいしんりょく,*マジックガード
66,ワンリキー,,Machop,かくとう,,70,80,50,35,35,35,こんじょう,ノーガード,*ふくつのこころ
67,ゴーリキー,,Machoke,かくとう,,80,100,70,50,60,45,こんじょう,ノーガード,*ふくつのこころ
68,カイリキー,,Machamp,かくとう,,90,130,80,65,85,55,こんじょう,ノーガード,*ふくつのこころ
69,マダツボミ,,Bellsprout,くさ,どく,50,75,35,70,30,40,ようりょくそ,,*くいしんぼう
70,ウツドン,,Weepinbell,くさ,どく,65,90,50,85,45,55,ようりょくそ,,*くいしんぼう
71,ウツボット,,Victreebel,くさ,どく,80,105,65,100,70,70,ようりょくそ,,*くいしんぼう
72,メノクラゲ,,Tentacool,みず,どく,40,40,35,50,100,70,クリアボディ,ヘドロえき,*あめうけざら
73,ドククラゲ,,Tentacruel,みず,どく,80,70,65,80,120,100,クリアボディ,ヘドロえき,*あめうけざら
74,イシツブテ,アローラのすがた,Geodude,いわ,でんき,40,80,100,30,30,20,じりょく,がんじょう,*エレキスキン
74,イシツブテ,通常,Geodude,いわ,じめん,40,80,100,30,30,20,いしあたま,がんじょう,*すながくれ
75,ゴローン,アローラのすがた,Graveler,いわ,でんき,55,95,115,45,45,35,じりょく,がんじょう,*エレキスキン
75,ゴローン,通常,Graveler,いわ,じめん,55,95,115,45,45,35,いしあたま,がんじょう,*すながくれ
76,ゴローニャ,アローラのすがた,Golem,いわ,でんき,80,120,130,55,65,45,じりょく,がんじょう,*エレキスキン
76,ゴローニャ,通常,Golem,いわ,じめん,80,120,130,55,65,45,いしあたま,がんじょう,*すながくれ
77,ポニータ,通常,Ponyta,ほのお,,50,85,55,65,65,90,にげあし,もらいび,*ほのおのからだ
77,ポニータ,ガラルのすがた,Ponyta,エスパー,,50,85,55,65,65,90,にげあし,パステルベール,*きけんよち
78,ギャロップ,ガラルのすがた,Rapidash,エスパー,フェアリー,65,100,70,80,80,105,にげあし,パステルベール,*きけんよち
78,ギャロップ,通常,Rapidash,ほのお,,65,100,70,80,80,105,にげあし,もらいび,*ほのおのからだ
79,ヤドン,ガラルのすがた,Slowpoke,エスパー,,90,65,65,40,40,15,くいしんぼう,マイペース,*さいせいりょく
79,ヤドン,通常,Slowpoke,みず,エスパー,90,65,65,40,40,15,どんかん,マイペース,*さいせいりょく
80,ヤドラン,ガラルのすがた,Slowbro,どく,エスパー,95,100,95,100,70,30,クイックドロウ,マイペース,*さいせいりょく
80,ヤドラン,ヤドラン,Slowbro,みず,エスパー,95,75,110,100,80,30,どんかん,マイペース,*さいせいりょく
81,コイル,,Magnemite,でんき,はがね,25,35,70,95,55,45,じりょく,がんじょう,*アナライズ
82,レアコイル,,Magneton,でんき,はがね,50,60,95,120,70,70,じりょく,がんじょう,*アナライズ
83,カモネギ,通常,Farfetch'd,ノーマル,ひこう,52,90,55,58,62,60,するどいめ,せいしんりょく,*まけんき
83,カモネギ,ガラルのすがた,Farfetch'd,かくとう,,52,95,55,58,62,55,ふくつのこころ,,*きもったま
84,ドードー,,Doduo,ノーマル,ひこう,35,85,45,35,35,75,にげあし,はやおき,*ちどりあし
85,ドードリオ,,Dodrio,ノーマル,ひこう,60,110,70,60,60,110,にげあし,はやおき,*ちどりあし
86,パウワウ,,Seel,みず,,65,45,55,45,70,45,あついしぼう,うるおいボディ,*アイスボディ
87,ジュゴン,,Dewgong,みず,こおり,90,70,80,70,95,70,あついしぼう,うるおいボディ,*アイスボディ
88,ベトベター,通常,Grimer,どく,,80,80,50,40,50,25,あくしゅう,ねんちゃく,*どくしゅ
88,ベトベター,アローラのすがた,Grimer,どく,あく,80,80,50,40,50,25,どくしゅ,くいしんぼう,*かがくのちから
89,ベトベトン,アローラのすがた,Muk,どく,あく,105,105,75,65,100,50,どくしゅ,くいしんぼう,*かがくのちから
89,ベトベトン,通常,Muk,どく,,105,105,75,65,100,50,あくしゅう,ねんちゃく,*どくしゅ
90,シェルダー,,Shellder,みず,,30,65,100,45,25,40,シェルアーマー,スキルリンク,*ぼうじん
91,パルシェン,,Cloyster,みず,こおり,50,95,180,85,45,70,シェルアーマー,スキルリンク,*ぼうじん
92,ゴース,,Gastly,ゴースト,どく,30,35,30,100,35,80,ふゆう,,
93,ゴースト,,Haunter,ゴースト,どく,45,50,45,115,55,95,ふゆう,,
94,ゲンガー,,Gengar,ゴースト,どく,60,65,60,130,75,110,のろわれボディ,,
95,イワーク,,Onix,いわ,じめん,35,45,160,30,45,70,いしあたま,がんじょう,*くだけるよろい
96,スリープ,,Drowzee,エスパー,,60,48,45,43,90,42,ふみん,よちむ,*せいしんりょく
97,スリーパー,,Hypno,エスパー,,85,73,70,73,115,67,ふみん,よちむ,*せいしんりょく
98,クラブ,,Krabby,みず,,30,105,90,25,25,50,かいりきバサミ,シェルアーマー,*ちからずく
99,キングラー,,Kingler,みず,,55,130,115,50,50,75,かいりきバサミ,シェルアーマー,*ちからずく
100,ビリリダマ,,Voltorb,でんき,,40,30,50,55,55,100,ぼうおん,せいでんき,*ゆうばく
101,マルマイン,,Electrode,でんき,,60,50,70,80,80,150,ぼうおん,せいでんき,*ゆうばく
102,タマタマ,,Exeggcute,くさ,エスパー,60,40,80,60,45,40,ようりょくそ,,*しゅうかく
103,ナッシー,通常,Exeggutor,くさ,エスパー,95,95,85,125,75,55,ようりょくそ,,*しゅうかく
103,ナッシー,アローラのすがた,Exeggutor,くさ,ドラゴン,95,105,85,125,75,45,おみとおし,,*しゅうかく
104,カラカラ,,Cubone,じめん,,50,50,95,40,50,35,いしあたま,ひらいしん,*カブトアーマー
105,ガラガラ,通常,Marowak,じめん,,60,80,110,50,80,45,いしあたま,ひらいしん,*カブトアーマー
105,ガラガラ,アローラのすがた,Marowak,ほのお,ゴースト,60,80,110,50,80,45,のろわれボディ,ひらいしん,*いしあたま
106,サワムラー,,Hitmonlee,かくとう,,50,120,53,35,110,87,じゅうなん,すてみ,*かるわざ
107,エビワラー,,Hitmonchan,かくとう,,50,105,79,35,110,76,するどいめ,てつのこぶし,*せいしんりょく
108,ベロリンガ,,Lickitung,ノーマル,,90,55,75,60,75,30,マイペース,どんかん,*ノーてんき
109,ドガース,,Koffing,どく,,40,65,95,60,45,35,ふゆう,かがくへんかガス,*あくしゅう
110,マタドガス,通常,Weezing,どく,,65,90,120,85,70,60,ふゆう,かがくへんかガス,*あくしゅう
110,マタドガス,ガラルのすがた,Weezing,どく,フェアリー,65,90,120,85,70,60,ふゆう,かがくへんかガス,*ミストメイカー
111,サイホーン,,Rhyhorn,じめん,いわ,80,85,95,30,30,25,ひらいしん,いしあたま,*すてみ
112,サイドン,,Rhydon,じめん,いわ,105,130,120,45,45,40,ひらいしん,いしあたま,*すてみ
113,ラッキー,,Chansey,ノーマル,,250,5,5,35,105,50,しぜんかいふく,てんのめぐみ,*いやしのこころ
114,モンジャラ,,Tangela,くさ,,65,55,115,100,40,60,ようりょくそ,リーフガード,*さいせいりょく
115,ガルーラ,,Kangaskhan,ノーマル,,105,95,80,40,80,90,はやおき,きもったま,*せいしんりょく
116,タッツー,,Horsea,みず,,30,40,70,70,25,60,すいすい,スナイパー,*しめりけ
117,シードラ,,Seadra,みず,,55,65,95,95,45,85,どくのトゲ,スナイパー,*しめりけ
118,トサキント,,Goldeen,みず,,45,67,60,35,50,63,すいすい,みずのベール,*ひらいしん
119,アズマオウ,,Seaking,みず,,80,92,65,65,80,68,すいすい,みずのベール,*ひらいしん
120,ヒトデマン,,Staryu,みず,,30,45,55,70,55,85,はっこう,しぜんかいふく,*アナライズ
121,スターミー,,Starmie,みず,エスパー,60,75,85,100,85,115,はっこう,しぜんかいふく,*アナライズ
122,バリヤード,ガラルのすがた,Mr. Mime,こおり,エスパー,50,65,65,90,90,100,やるき,バリアフリー,*アイスボディ
122,バリヤード,通常,Mr. Mime,エスパー,フェアリー,40,45,65,100,120,90,ぼうおん,フィルター,*テクニシャン
123,ストライク,,Scyther,むし,ひこう,70,110,80,55,80,105,むしのしらせ,テクニシャン,*ふくつのこころ
124,ルージュラ,,Jynx,こおり,エスパー,65,50,35,115,95,95,どんかん,よちむ,*かんそうはだ
125,エレブー,,Electabuzz,でんき,,65,83,57,95,85,105,せいでんき,,*やるき
126,ブーバー,,Magmar,ほのお,,65,95,57,100,85,93,ほのおのからだ,,*やるき
127,カイロス,,Pinsir,むし,,65,125,100,55,70,85,かいりきバサミ,かたやぶり,*じしんかじょう
128,ケンタロス,,Tauros,ノーマル,,75,100,95,40,70,110,いかく,いかりのつぼ,*ちからずく
129,コイキング,,Magikarp,みず,,20,10,55,15,20,80,すいすい,,*びびり
130,ギャラドス,,Gyarados,みず,ひこう,95,125,79,60,100,81,いかく,,*じしんかじょう
131,ラプラス,,Lapras,みず,こおり,130,85,80,85,95,60,ちょすい,シェルアーマー,*うるおいボディ
132,メタモン,,Ditto,ノーマル,,48,48,48,48,48,48,じゅうなん,,*かわりもの
133,イーブイ,,Eevee,ノーマル,,55,55,50,45,65,55,にげあし,てきおうりょく,*きけんよち
134,シャワーズ,,Vaporeon,みず,,130,65,60,110,95,65,ちょすい,,*うるおいボディ
135,サンダース,,Jolteon,でんき,,65,65,60,110,95,130,ちくでん,,*はやあし
136,ブースター,,Flareon,ほのお,,65,130,60,95,110,65,もらいび,,*こんじょう
137,ポリゴン,,Porygon,ノーマル,,65,60,70,85,75,40,トレース,ダウンロード,*アナライズ
138,オムナイト,,Omanyte,いわ,みず,35,40,100,90,55,35,すいすい,シェルアーマー,*くだけるよろい
139,オムスター,,Omastar,いわ,みず,70,60,125,115,70,55,すいすい,シェルアーマー,*くだけるよろい
140,カブト,,Kabuto,いわ,みず,30,80,90,55,45,55,すいすい,カブトアーマー,*くだけるよろい
141,カブトプス,,Kabutops,いわ,みず,60,115,105,65,70,80,すいすい,カブトアーマー,*くだけるよろい
142,プテラ,,Aerodactyl,いわ,ひこう,80,105,65,60,75,130,いしあたま,プレッシャー,*きんちょうかん
143,カビゴン,,Snorlax,ノーマル,,160,110,65,65,110,30,めんえき,あついしぼう,*くいしんぼう
144,フリーザー,ガラルのすがた,Articuno,エスパー,ひこう,90,85,85,125,100,95,かちき,,
144,フリーザー,通常,Articuno,こおり,ひこう,90,85,100,95,125,85,プレッシャー,,*ゆきがくれ
145,サンダー,通常,Zapdos,でんき,ひこう,90,90,85,125,90,100,プレッシャー,,*せいでんき
145,サンダー,ガラルのすがた,Zapdos,かくとう,ひこう,90,125,90,85,90,100,まけんき,,
146,ファイヤー,通常,Moltres,ほのお,ひこう,90,100,90,125,85,90,プレッシャー,,*ほのおのからだ
146,ファイヤー,ガラルのすがた,Moltres,あく,ひこう,90,85,90,100,125,90,ぎゃくじょう,,
147,ミニリュウ,,Dratini,ドラゴン,,41,64,45,50,50,50,だっぴ,,*ふしぎなうろこ
148,ハクリュー,,Dragonair,ドラゴン,,61,84,65,70,70,70,だっぴ,,*ふしぎなうろこ
149,カイリュー,,Dragonite,ドラゴン,ひこう,91,134,95,100,100,80,せいしんりょく,,*マルチスケイル
150,ミュウツー,,Mewtwo,エスパー,,106,110,90,154,90,130,プレッシャー,,*きんちょうかん
151,ミュウ,,Mew,エスパー,,100,100,100,100,100,100,シンクロ,,
152,チコリータ,,Chikorita,くさ,,45,49,65,49,65,45,しんりょく,,*リーフガード
153,ベイリーフ,,Bayleef,くさ,,60,62,80,63,80,60,しんりょく,,*リーフガード
154,メガニウム,,Meganium,くさ,,80,82,100,83,100,80,しんりょく,,*リーフガード
155,ヒノアラシ,,Cyndaquil,ほのお,,39,52,43,60,50,65,もうか,,*もらいび
156,マグマラシ,,Quilava,ほのお,,58,64,58,80,65,80,もうか,,*もらいび
157,バクフーン,,Typhlosion,ほのお,,78,84,78,109,85,100,もうか,,*もらいび
158,ワニノコ,,Totodile,みず,,50,65,64,44,48,43,げきりゅう,,*ちからずく
159,アリゲイツ,,Croconaw,みず,,65,80,80,59,63,58,げきりゅう,,*ちからずく
160,オーダイル,,Feraligatr,みず,,85,105,100,79,83,78,げきりゅう,,*ちからずく
161,オタチ,,Sentret,ノーマル,,35,46,34,35,45,20,にげあし,するどいめ,*おみとおし
162,オオタチ,,Furret,ノーマル,,85,76,64,45,55,90,にげあし,するどいめ,*おみとおし
163,ホーホー,,Hoothoot,ノーマル,ひこう,60,30,30,36,56,50,ふみん,するどいめ,*いろめがね
164,ヨルノズク,,Noctowl,ノーマル,ひこう,100,50,50,86,96,70,ふみん,するどいめ,*いろめがね
165,レディバ,,Ledyba,むし,ひこう,40,20,30,40,80,55,むしのしらせ,はやおき,*びびり
166,レディアン,,Ledian,むし,ひこう,55,35,50,55,110,85,むしのしらせ,はやおき,*てつのこぶし
167,イトマル,,Spinarak,むし,どく,40,60,40,40,40,30,むしのしらせ,ふみん,*スナイパー
168,アリアドス,,Ariados,むし,どく,70,90,70,60,70,40,むしのしらせ,ふみん,*スナイパー
169,クロバット,,Crobat,どく,ひこう,85,90,80,70,80,130,せいしんりょく,,*すりぬけ
170,チョンチー,,Chinchou,みず,でんき,75,38,38,56,56,67,ちくでん,はっこう,*ちょすい
171,ランターン,,Lanturn,みず,でんき,125,58,58,76,76,67,ちくでん,はっこう,*ちょすい
172,ピチュー,,Pichu,でんき,,20,40,15,35,35,60,せいでんき,,*ひらいしん
173,ピィ,,Cleffa,フェアリー,,50,25,28,45,55,15,メロメロボディ,マジックガード,*フレンドガード
174,ププリン,,Igglybuff,ノーマル,フェアリー,90,30,15,40,20,15,メロメロボディ,かちき,*フレンドガード
175,トゲピー,,Togepi,フェアリー,,35,20,65,40,65,20,はりきり,てんのめぐみ,*きょううん
176,トゲチック,,Togetic,フェアリー,ひこう,55,40,85,80,105,40,はりきり,てんのめぐみ,*きょううん
177,ネイティ,,Natu,エスパー,ひこう,40,50,45,70,45,70,シンクロ,はやおき,*マジックミラー
178,ネイティオ,,Xatu,エスパー,ひこう,65,75,70,95,70,95,シンクロ,はやおき,*マジックミラー
179,メリープ,,Mareep,でんき,,55,40,40,65,45,35,せいでんき,,*プラス
180,モココ,,Flaaffy,でんき,,70,55,55,80,60,45,せいでんき,,*プラス
181,デンリュウ,,Ampharos,でんき,,90,75,85,115,90,55,せいでんき,,*プラス
182,キレイハナ,,Bellossom,くさ,,75,80,95,90,100,50,ようりょくそ,,*いやしのこころ
183,マリル,,Marill,みず,フェアリー,70,20,50,20,50,40,あついしぼう,ちからもち,*そうしょく
184,マリルリ,,Azumarill,みず,フェアリー,100,50,80,60,80,50,あついしぼう,ちからもち,*そうしょく
185,ウソッキー,,Sudowoodo,いわ,,70,100,115,30,65,30,がんじょう,いしあたま,*びびり
186,ニョロトノ,,Politoed,みず,,90,75,75,90,100,70,ちょすい,しめりけ,*あめふらし
187,ハネッコ,,Hoppip,くさ,ひこう,35,35,40,35,55,50,ようりょくそ,リーフガード,*すりぬけ
188,ポポッコ,,Skiploom,くさ,ひこう,55,45,50,45,65,80,ようりょくそ,リーフガード,*すりぬけ
189,ワタッコ,,Jumpluff,くさ,ひこう,75,55,70,55,95,110,ようりょくそ,リーフガード,*すりぬけ
190,エイパム,,Aipom,ノーマル,,55,70,55,40,55,85,にげあし,ものひろい,*スキルリンク
191,ヒマナッツ,,Sunkern,くさ,,30,30,30,30,30,30,ようりょくそ,サンパワー,*はやおき
192,キマワリ,,Sunflora,くさ,,75,75,55,105,85,30,ようりょくそ,サンパワー,*はやおき
193,ヤンヤンマ,,Yanma,むし,ひこう,65,65,45,75,45,95,かそく,ふくがん,*おみとおし
194,ウパー,,Wooper,みず,じめん,55,45,45,25,25,15,しめりけ,ちょすい,*てんねん
195,ヌオー,,Quagsire,みず,じめん,95,85,85,65,65,35,しめりけ,ちょすい,*てんねん
196,エーフィ,,Espeon,エスパー,,65,65,60,130,95,110,シンクロ,,*マジックミラー
197,ブラッキー,,Umbreon,あく,,95,65,110,60,130,65,シンクロ,,*せいしんりょく
198,ヤミカラス,,Murkrow,あく,ひこう,60,85,42,85,42,91,ふみん,きょううん,*いたずらごころ
199,ヤドキング,ガラルのすがた,Slowking,どく,エスパー,95,65,80,110,110,30,きみょうなくすり,マイペース,*さいせいりょく
199,ヤドキング,通常,Slowking,みず,エスパー,95,75,80,100,110,30,どんかん,マイペース,*さいせいりょく
200,ムウマ,,Misdreavus,ゴースト,,60,60,60,85,85,85,ふゆう,,
201,アンノーン,,Unown,エスパー,,48,72,48,72,48,48,ふゆう,,
202,ソーナンス,,Wobbuffet,エスパー,,190,33,58,33,58,33,かげふみ,,*テレパシー
203,キリンリキ,,Girafarig,ノーマル,エスパー,70,80,65,90,65,85,せいしんりょく,はやおき,*そうしょく
204,クヌギダマ,,Pineco,むし,,50,65,90,35,35,15,がんじょう,,*ぼうじん
205,フォレトス,,Forretress,むし,はがね,75,90,140,60,60,40,がんじょう,,*ぼうじん
206,ノコッチ,,Dunsparce,ノーマル,,100,70,70,65,65,45,てんのめぐみ,にげあし,*びびり
207,グライガー,,Gligar,じめん,ひこう,65,75,105,35,65,85,かいりきバサミ,すながくれ,*めんえき
208,ハガネール,,Steelix,はがね,じめん,75,85,200,55,65,30,いしあたま,がんじょう,*ちからずく
209,ブルー,,Snubbull,フェアリー,,60,80,50,40,40,30,いかく,にげあし,*びびり
210,グランブル,,Granbull,フェアリー,,90,120,75,60,60,45,いかく,はやあし,*びびり
211,ハリーセン,,Qwilfish,みず,どく,65,95,85,55,55,85,どくのトゲ,すいすい,*いかく
212,ハッサム,,Scizor,むし,はがね,70,130,100,55,80,65,むしのしらせ,テクニシャン,*ライトメタル
213,ツボツボ,,Shuckle,むし,いわ,20,10,230,10,230,5,がんじょう,くいしんぼう,*あまのじゃく
214,ヘラクロス,,Heracross,むし,かくとう,80,125,75,40,95,85,むしのしらせ,こんじょう,*じしんかじょう
215,ニューラ,,Sneasel,あく,こおり,55,95,55,35,75,115,せいしんりょく,するどいめ,*わるいてぐせ
