ぜんこくNo.,名前,フォルム,英語名,タイプ1,タイプ2,HP,攻撃,防御,特攻,特防,素早さ,特性1,特性2,夢特性
461,マニューラ,,Weavile,あく,こおり,70,120,65,45,85,125,プレッシャー,,*わるいてぐせ
462,ジバコイル,,Magnezone,でんき,はがね,70,70,115,130,90,60,じりょく,がんじょう,*アナライズ
463,ベロベルト,,Lickilicky,ノーマル,,110,85,95,80,95,50,マイペース,どんかん,*ノーてんき
464,ドサイドン,,Rhyperior,じめん,いわ,115,140,130,55,55,40,ひらいしん,ハードロック,*すてみ
465,モジャンボ,,Tangrowth,くさ,,100,100,125,110,50,50,ようりょくそ,リーフガード,*さいせいりょく
466,エレキブル,,Electivire,でんき,,75,123,67,95,85,95,でんきエンジン,,*やるき
467,ブーバーン,,Magmortar,ほのお,,75,95,67,125,95,83,ほのおのからだ,,*やるき
468,トゲキッス,,Togekiss,フェアリー,ひこう,85,50,95,120,115,80,はりきり,てんのめぐみ,*きょううん
470,リーフィア,,Leafeon,くさ,,65,110,130,60,65,95,リーフガード,,*ようりょくそ
471,グレイシア,,Glaceon,こおり,,65,60,110,130,95,65,ゆきがくれ,,*アイスボディ
472,グライオン,,Gliscor,じめん,ひこう,75,95,125,45,75,95,かいりきバサミ,すながくれ,*ポイズンヒール
473,マンムー,,Mamoswine,こおり,じめん,110,130,80,70,60,80,どんかん,ゆきがくれ,*あついしぼう
474,ポリゴンZ,,Porygon-Z,ノーマル,,85,80,70,135,75,90,てきおうりょく,ダウンロード,*アナライズ
475,エルレイド,,Gallade,エスパー,かくとう,68,125,65,65,115,80,ふくつのこころ,,*せいぎのこころ
476,ダイノーズ,,Probopass,いわ,はがね,60,55,145,75,150,40,がんじょう,じりょく,*すなのちから
477,ヨノワール,,Dusknoir,ゴースト,,45,100,135,65,135,45,プレッシャー,,*おみとおし
478,ユキメノコ,,Froslass,こおり,ゴースト,70,80,70,80,70,110,ゆきがくれ,,*のろわれボディ
479,ロトム,カット,Rotom,でんき,くさ,50,65,107,105,107,86,ふゆう,,
479,ロトム,スピン,Rotom,でんき,ひこう,50,65,107,105,107,86,ふゆう,,
479,ロトム,フロスト,Rotom,でんき,こおり,50,65,107,105,107,86,ふゆう,,
479,ロトム,ウォッシュ,Rotom,でんき,みず,50,65,107,105,107,86,ふゆう,,
479,ロトム,ヒート,Rotom,でんき,ほのお,50,65,107,105,107,86,ふゆう,,
479,ロトム,基本,Rotom,でんき,ゴースト,50,50,77,95,77,91,ふゆう,,
480,ユクシー,,Uxie,エスパー,,75,75,130,75,130,95,ふゆう,,
481,エムリット,,Mesprit,エスパー,,80,105,105,105,105,80,ふゆう,,
482,アグノム,,Azelf,エスパー,,75,125,70,125,70,115,ふゆう,,
483,ディアルガ,,Dialga,はがね,ドラゴン,100,120,120,150,100,90,プレッシャー,,*テレパシー
484,パルキア,,Palkia,みず,ドラゴン,90,120,100,150,120,100,プレッシャー,,*テレパシー
485,ヒードラン,,Heatran,ほのお,はがね,91,90,106,130,106,77,もらいび,,*ほのおのからだ
486,レジギガス,,Regigigas,ノーマル,,110,160,110,80,110,100,スロースタート,,
487,ギラティナ,アナザーフォルム,Giratina,ゴースト,ドラゴン,150,100,120,100,120,90,プレッシャー,,*テレパシー
487,ギラティナ,オリジンフォルム,Giratina,ゴースト,ドラゴン,150,120,100,120,100,90,ふゆう,,
488,クレセリア,,Cresselia,エスパー,,120,70,120,75,130,85,ふゆう,,
489,フィオネ,,Phione,みず,,80,80,80,80,80,80,うるおいボディ,,
490,マナフィ,,Manaphy,みず,,100,100,100,100,100,100,うるおいボディ,,
491,ダークライ,,Darkrai,あく,,70,90,90,135,90,125,ナイトメア,,
492,シェイミ,ランドフォルム,Shaymin,くさ,,100,100,100,100,100,100,しぜんかいふく,,
492,シェイミ,スカイフォルム,Shaymin,くさ,ひこう,100,103,75,120,75,127,てんのめぐみ,,
493,アルセウス,,Arceus,ノーマル,,120,120,120,120,120,120,マルチタイプ,,
494,ビクティニ,,Victini,エスパー,ほのお,100,100,100,100,100,100,しょうりのほし,,
495,ツタージャ,,Snivy,くさ,,45,45,55,45,55,63,しんりょく,,*あまのじゃく
496,ジャノビー,,Servine,くさ,,60,60,75,60,75,83,しんりょく,,*あまのじゃく
497,ジャローダ,,Serperior,くさ,,75,75,95,75,95,113,しんりょく,,*あまのじゃく
498,ポカブ,,Tepig,ほのお,,65,63,45,45,45,45,もうか,,*あついしぼう
499,チャオブー,,Pignite,ほのお,かくとう,90,93,55,70,55,55,もうか,,*あついしぼう
500,エンブオー,,Emboar,ほのお,かくとう,110,123,65,100,65,65,もうか,,*すてみ
501,ミジュマル,,Oshawott,みず,,55,55,45,63,45,45,げきりゅう,,*シェルアーマー
502,フタチマル,,Dewott,みず,,75,75,60,83,60,60,げきりゅう,,*シェルアーマー
503,ダイケンキ,,Samurott,みず,,95,100,85,108,70,70,げきりゅう,,*シェルアーマー
504,ミネズミ,,Patrat,ノーマル,,45,55,39,35,39,42,にげあし,するどいめ,*アナライズ
505,ミルホッグ,,Watchog,ノーマル,,60,85,69,60,69,77,はっこう,するどいめ,*アナライズ
506,ヨーテリー,,Lillipup,ノーマル,,45,60,45,25,45,55,やるき,ものひろい,*にげあし
507,ハーデリア,,Herdier,ノーマル,,65,80,65,35,65,60,いかく,すなかき,*きもったま
508,ムーランド,,Stoutland,ノーマル,,85,110,90,45,90,80,いかく,すなかき,*きもったま
509,チョロネコ,,Purrloin,あく,,41,50,37,50,37,66,じゅうなん,かるわざ,*いたずらごころ
510,レパルダス,,Liepard,あく,,64,88,50,88,50,106,じゅうなん,かるわざ,*いたずらごころ
511,ヤナップ,,Pansage,くさ,,50,53,48,53,48,64,くいしんぼう,,*しんりょく
512,ヤナッキー,,Simisage,くさ,,75,98,63,98,63,101,くいしんぼう,,*しんりょく
513,バオップ,,Pansear,ほのお,,50,53,48,53,48,64,くいしんぼう,,*もうか
514,バオッキー,,Simisear,ほのお,,75,98,63,98,63,101,くいしんぼう,,*もうか
515,ヒヤップ,,Panpour,みず,,50,53,48,53,48,64,くいしんぼう,,*げきりゅう
516,ヒヤッキー,,Simipour,みず,,75,98,63,98,63,101,くいしんぼう,,*げきりゅう
517,ムンナ,,Munna,エスパー,,76,25,45,67,55,24,よちむ,シンクロ,*テレパシー
518,ムシャーナ,,Musharna,エスパー,,116,55,85,107,95,29,よちむ,シンクロ,*テレパシー
519,マメパト,,Pidove,ノーマル,ひこう,50,55,50,36,30,43,はとむね,きょううん,*とうそうしん
520,ハトーボー,,Tranquill,ノーマル,ひこう,62,77,62,50,42,65,はとむね,きょううん,*とうそうしん
521,ケンホロウ,,Unfezant,ノーマル,ひこう,80,115,80,65,55,93,はとむね,きょううん,*とうそうしん
522,シママ,,Blitzle,でんき,,45,60,32,50,32,76,ひらいしん,でんきエンジン,*そうしょく
523,ゼブライカ,,Zebstrika,でんき,,75,100,63,80,63,116,ひらいしん,でんきエンジン,*そうしょく
524,ダンゴロ,,Roggenrola,いわ,,55,75,85,25,25,15,がんじょう,くだけるよろい,*すなのちから
525,ガントル,,Boldore,いわ,,70,105,105,50,40,20,がんじょう,くだけるよろい,*すなのちから
526,ギガイアス,,Gigalith,いわ,,85,135,130,60,80,25,がんじょう,すなおこし,*すなのちから
527,コロモリ,,Woobat,エスパー,ひこう,65,45,43,55,43,72,てんねん,ぶきよう,*たんじゅん
528,ココロモリ,,Swoobat,エスパー,ひこう,67,57,55,77,55,114,てんねん,ぶきよう,*たんじゅん
529,モグリュー,,Drilbur,じめん,,60,85,40,30,45,68,すなかき,すなのちから,*かたやぶり
530,ドリュウズ,,Excadrill,じめん,はがね,110,135,60,50,65,88,すなかき,すなのちから,*かたやぶり
531,タブンネ,,Audino,ノーマル,,103,60,86,60,86,50,いやしのこころ,さいせいりょく,*ぶきよう
532,ドッコラー,,Timburr,かくとう,,75,80,55,25,35,35,こんじょう,ちからずく,*てつのこぶし
533,ドテッコツ,,Gurdurr,かくとう,,85,105,85,40,50,40,こんじょう,ちからずく,*てつのこぶし
534,ローブシン,,Conkeldurr,かくとう,,105,140,95,55,65,45,こんじょう,ちからずく,*てつのこぶし
535,オタマロ,,Tympole,みず,,50,50,40,50,40,64,すいすい,うるおいボディ,*ちょすい
536,ガマガル,,Palpitoad,みず,じめん,75,65,55,65,55,69,すいすい,うるおいボディ,*ちょすい
537,ガマゲロゲ,,Seismitoad,みず,じめん,105,95,75,85,75,74,すいすい,どくしゅ,*ちょすい
538,ナゲキ,,Throh,かくとう,,120,100,85,30,85,45,こんじょう,せいしんりょく,*かたやぶり
539,ダゲキ,,Sawk,かくとう,,75,125,75,30,75,85,がんじょう,せいしんりょく,*かたやぶり
540,クルミル,,Sewaddle,むし,くさ,45,53,70,40,60,42,むしのしらせ,ようりょくそ,*ぼうじん
541,クルマユ,,Swadloon,むし,くさ,55,63,90,50,80,42,リーフガード,ようりょくそ,*ぼうじん
542,ハハコモリ,,Leavanny,むし,くさ,75,103,80,70,80,92,むしのしらせ,ようりょくそ,*ぼうじん
543,フシデ,,Venipede,むし,どく,30,45,59,30,39,57,どくのトゲ,むしのしらせ,*かそく
544,ホイーガ,,Whirlipede,むし,どく,40,55,99,40,79,47,どくのトゲ,むしのしらせ,*かそく
545,ペンドラー,,Scolipede,むし,どく,60,100,89,55,69,112,どくのトゲ,むしのしらせ,*かそく
546,モンメン,,Cottonee,くさ,フェアリー,40,27,60,37,50,66,いたずらごころ,すりぬけ,*ようりょくそ
547,エルフーン,,Whimsicott,くさ,フェアリー,60,67,85,77,75,116,いたずらごころ,すりぬけ,*ようりょくそ
548,チュリネ,,Petilil,くさ,,45,35,50,70,50,30,ようりょくそ,マイペース,*リーフガード
549,ドレディア,,Lilligant,くさ,,70,60,75,110,75,90,ようりょくそ,マイペース,*リーフガード
550,バスラオ,あおすじ,Basculin,みず,,70,92,65,80,55,98,いしあたま,てきおうりょく,*かたやぶり
550,バスラオ,あかすじ,Basculin,みず,,70,92,65,80,55,98,すてみ,てきおうりょく,*かたやぶり
551,メグロコ,,Sandile,じめん,あく,50,72,35,35,35,65,いかく,じしんかじょう,*いかりのつぼ
552,ワルビル,,Krokorok,じめん,あく,60,82,45,45,45,74,いかく,じしんかじょう,*いかりのつぼ
553,ワルビアル,,Krookodile,じめん,あく,95,117,80,65,70,92,いかく,じしんかじょう,*いかりのつぼ
554,ダルマッカ,ガラルのすがた,Darumaka,こおり,,70,90,45,15,45,50,はりきり,,*せいしんりょく
554,ダルマッカ,通常,Darumaka,ほのお,,70,90,45,15,45,50,はりきり,,*せいしんりょく
555,ヒヒダルマ,ダルマモード,Darmanitan,ほのお,エスパー,105,30,105,140,105,55,ちからずく,,*ダルマモード
555,ヒヒダルマ,ノーマルモード,Darmanitan,ほのお,,105,140,55,30,55,95,ちからずく,,*ダルマモード
555,ヒヒダルマ,ガラルのすがた,Darmanitan,こおり,,105,140,55,30,55,95,ごりむちゅう,,*ダルマモード
555,ヒヒダルマ,ダルマ・ガラル,Darmanitan,こおり,ほのお,105,160,55,30,55,135,ごりむちゅう,,*ダルマモード
556,マラカッチ,,Maractus,くさ,,75,86,67,106,67,60,ちょすい,ようりょくそ,*よびみず
557,イシズマイ,,Dwebble,むし,いわ,50,65,85,35,35,55,がんじょう,シェルアーマー,*くだけるよろい
558,イワパレス,,Crustle,むし,いわ,70,105,125,65,75,45,がんじょう,シェルアーマー,*くだけるよろい
559,ズルッグ,,Scraggy,あく,かくとう,50,75,70,35,70,48,だっぴ,じしんかじょう,*いかく
560,ズルズキン,,Scrafty,あく,かくとう,65,90,115,45,115,58,だっぴ,じしんかじょう,*いかく
561,シンボラー,,Sigilyph,エスパー,ひこう,72,58,80,103,80,97,ミラクルスキン,マジックガード,*いろめがね
562,デスマス,通常,Yamask,ゴースト,,38,30,85,55,65,30,ミイラ,,
562,デスマス,ガラルのすがた,Yamask,じめん,ゴースト,38,55,85,30,65,30,さまようたましい,,
563,デスカーン,,Cofagrigus,ゴースト,,58,50,145,95,105,30,ミイラ,,
564,プロトーガ,,Tirtouga,みず,いわ,54,78,103,53,45,22,ハードロック,がんじょう,*すいすい
565,アバゴーラ,,Carracosta,みず,いわ,74,108,133,83,65,32,ハードロック,がんじょう,*すいすい
566,アーケン,,Archen,いわ,ひこう,55,112,45,74,45,70,よわき,,
567,アーケオス,,Archeops,いわ,ひこう,75,140,65,112,65,110,よわき,,
568,ヤブクロン,,Trubbish,どく,,50,50,62,40,62,65,あくしゅう,ねんちゃく,*ゆうばく
569,ダストダス,,Garbodor,どく,,80,95,82,60,82,75,あくしゅう,くだけるよろい,*ゆうばく
570,ゾロア,,Zorua,あく,,40,65,40,80,40,65,イリュージョン,,
571,ゾロアーク,,Zoroark,あく,,60,105,60,120,60,105,イリュージョン,,
572,チラーミィ,,Minccino,ノーマル,,55,50,40,40,40,75,メロメロボディ,テクニシャン,*スキルリンク
573,チラチーノ,,Cinccino,ノーマル,,75,95,60,65,60,115,メロメロボディ,テクニシャン,*スキルリンク
574,ゴチム,,Gothita,エスパー,,45,30,50,55,65,45,おみとおし,かちき,*かげふみ
575,ゴチミル,,Gothorita,エスパー,,60,45,70,75,85,55,おみとおし,かちき,*かげふみ
576,ゴチルゼル,,Gothitelle,エスパー,,70,55,95,95,110,65,おみとおし,かちき,*かげふみ
577,ユニラン,,Solosis,エスパー,,45,30,40,105,50,20,ぼうじん,マジックガード,*さいせいりょく
578,ダブラン,,Duosion,エスパー,,65,40,50,125,60,30,ぼうじん,マジックガード,*さいせいりょく
579,ランクルス,,Reuniclus,エスパー,,110,65,75,125,85,30,ぼうじん,マジックガード,*さいせいりょく
580,コアルヒー,,Ducklett,みず,ひこう,62,44,50,44,50,55,するどいめ,はとむね,*うるおいボディ
581,スワンナ,,Swanna,みず,ひこう,75,87,63,87,63,98,するどいめ,はとむね,*うるおいボディ
582,バニプッチ,,Vanillite,こおり,,36,50,50,65,60,44,アイスボディ,ゆきがくれ,*くだけるよろい
583,バニリッチ,,Vanillish,こおり,,51,65,65,80,75,59,アイスボディ,ゆきがくれ,*くだけるよろい
584,バイバニラ,,Vanilluxe,こおり,,71,95,85,110,95,79,アイスボディ,ゆきふらし,*くだけるよろい
585,シキジカ,,Deerling,ノーマル,くさ,60,60,50,40,50,75,ようりょくそ,そうしょく,*てんのめぐみ
586,メブキジカ,,Sawsbuck,ノーマル,くさ,80,100,70,60,70,95,ようりょくそ,そうしょく,*てんのめぐみ
587,エモンガ,,Emolga,でんき,ひこう,55,75,60,75,60,103,せいでんき,,*でんきエンジン
588,カブルモ,,Karrablast,むし,,50,75,45,40,45,60,むしのしらせ,だっぴ,*ノーガード
589,シュバルゴ,,Escavalier,むし,はがね,70,135,105,60,105,20,むしのしらせ,シェルアーマー,*ぼうじん
590,タマゲタケ,,Foongus,くさ,どく,69,55,45,55,55,15,ほうし,,*さいせいりょく
591,モロバレル,,Amoonguss,くさ,どく,114,85,70,85,80,30,ほうし,,*さいせいりょく
592,プルリル,,Frillish,みず,ゴースト,55,40,50,65,85,40,ちょすい,のろわれボディ,*しめりけ
593,ブルンゲル,,Jellicent,みず,ゴースト,100,60,70,85,105,60,ちょすい,のろわれボディ,*しめりけ
594,ママンボウ,,Alomomola,みず,,165,75,80,40,45,65,いやしのこころ,うるおいボディ,*さいせいりょく
595,バチュル,,Joltik,むし,でんき,50,47,50,57,50,65,ふくがん,きんちょうかん,*むしのしらせ
596,デンチュラ,,Galvantula,むし,でんき,70,77,60,97,60,108,ふくがん,きんちょうかん,*むしのしらせ
597,テッシード,,Ferroseed,くさ,はがね,44,50,91,24,86,10,てつのトゲ,,
598,ナットレイ,,Ferrothorn,くさ,はがね,74,94,131,54,116,20,てつのトゲ,,*きけんよち
599,ギアル,,Klink,はがね,,40,55,70,45,60,30,プラス,マイナス,*クリアボディ
600,ギギアル,,Klang,はがね,,60,80,95,70,85,50,プラス,マイナス,*クリアボディ
601,ギギギアル,,Klinklang,はがね,,60,100,115,70,85,90,プラス,マイナス,*クリアボディ
602,シビシラス,,Tynamo,でんき,,35,55,40,45,40,60,ふゆう,,
603,シビビール,,Eelektrik,でんき,,65,85,70,75,70,40,ふゆう,,
604,シビルドン,,Eelektross,でんき,,85,115,80,105,80,50,ふゆう,,
605,リグレー,,Elgyem,エスパー,,55,55,55,85,55,30,テレパシー,シンクロ,*アナライズ
606,オーベム,,Beheeyem,エスパー,,75,75,75,125,95,40,テレパシー,シンクロ,*アナライズ
607,ヒトモシ,,Litwick,ゴースト,ほのお,50,30,55,65,55,20,もらいび,ほのおのからだ,*すりぬけ
608,ランプラー,,Lampent,ゴースト,ほのお,60,40,60,95,60,55,もらいび,ほのおのからだ,*すりぬけ
609,シャンデラ,,Chandelure,ゴースト,ほのお,60,55,90,145,90,80,もらいび,ほのおのからだ,*すりぬけ
610,キバゴ,,Axew,ドラゴン,,46,87,60,30,40,57,とうそうしん,かたやぶり,*きんちょうかん
611,オノンド,,Fraxure,ドラゴン,,66,117,70,40,50,67,とうそうしん,かたやぶり,*きんちょうかん
612,オノノクス,,Haxorus,ドラゴン,,76,147,90,60,70,97,とうそうしん,かたやぶり,*きんちょうかん
613,クマシュン,,Cubchoo,こおり,,55,70,40,60,40,40,ゆきがくれ,ゆきかき,*びびり
614,ツンベアー,,Beartic,こおり,,95,130,80,70,80,50,ゆきがくれ,ゆきかき,*すいすい
615,フリージオ,,Cryogonal,こおり,,80,50,50,95,135,105,ふゆう,,
616,チョボマキ,,Shelmet,むし,,50,40,85,40,65,25,うるおいボディ,シェルアーマー,*ぼうじん
617,アギルダー,,Accelgor,むし,,80,70,40,100,60,145,うるおいボディ,ねんちゃく,*かるわざ
618,マッギョ,通常,Stunfisk,じめん,でんき,109,66,84,81,99,32,せいでんき,じゅうなん,*すながくれ
618,マッギョ,ガラルのすがた,Stunfisk,じめん,はがね,109,81,99,66,84,32,ぎたい,,
619,コジョフー,,Mienfoo,かくとう,,45,85,50,55,50,65,せいしんりょく,さいせいりょく,*すてみ
620,コジョンド,,Mienshao,かくとう,,65,125,60,95,60,105,せいしんりょく,さいせいりょく,*すてみ
621,クリムガン,,Druddigon,ドラゴン,,77,120,90,60,90,48,さめはだ,ちからずく,*かたやぶり
622,ゴビット,,Golett,じめん,ゴースト,59,74,50,35,50,35,てつのこぶし,ぶきよう,*ノーガード
623,ゴルーグ,,Golurk,じめん,ゴースト,89,124,80,55,80,55,てつのこぶし,ぶきよう,*ノーガード
624,コマタナ,,Pawniard,あく,はがね,45,85,70,40,40,60,まけんき,せいしんりょく,*プレッシャー
625,キリキザン,,Bisharp,あく,はがね,65,125,100,60,70,70,まけんき,せいしんりょく,*プレッシャー
626,バッフロン,,Bouffalant,ノーマル,,95,110,95,40,95,55,すてみ,そうしょく,*ぼうおん
627,ワシボン,,Rufflet,ノーマル,ひこう,70,83,50,37,50,60,するどいめ,ちからずく,*はりきり
628,ウォーグル,,Braviary,ノーマル,ひこう,100,123,75,57,75,80,するどいめ,ちからずく,*まけんき
629,バルチャイ,,Vullaby,あく,ひこう,70,55,75,45,65,60,はとむね,ぼうじん,*くだけるよろい
630,バルジーナ,,Mandibuzz,あく,ひこう,110,65,105,55,95,80,はとむね,ぼうじん,*くだけるよろい
631,クイタラン,,Heatmor,ほのお,,85,97,66,105,66,65,くいしんぼう,もらいび,*しろいけむり
632,アイアント,,Durant,むし,はがね,58,109,112,48,48,109,むしのしらせ,はりきり,*なまけ
633,モノズ,,Deino,あく,ドラゴン,52,65,50,45,50,38,はりきり,,
634,ジヘッド,,Zweilous,あく,ドラゴン,72,85,70,65,70,58,はりきり,,
635,サザンドラ,,Hydreigon,あく,ドラゴン,92,105,90,125,90,98,ふゆう,,
636,メラルバ,,Larvesta,むし,ほのお,55,85,55,50,55,60,ほのおのからだ,,*むしのしらせ
637,ウルガモス,,Volcarona,むし,ほのお,85,60,65,135,105,100,ほのおのからだ,,*むしのしらせ
638,コバルオン,,Cobalion,はがね,かくとう,91,90,129,90,72,108,せいぎのこころ,,
639,テラキオン,,Terrakion,いわ,かくとう,91,129,90,72,90,108,せいぎのこころ,,
640,ビリジオン,,Virizion,くさ,かくとう,91,90,72,90,129,108,せいぎのこころ,,
641,トルネロス,れいじゅうフォルム,Tornadus,ひこう,,79,100,80,110,90,121,さいせいりょく,,
641,トルネロス,けしんフォルム,Tornadus,ひこう,,79,115,70,125,80,111,いたずらごころ,,*まけんき
642,ボルトロス,れいじゅうフォルム,Thundurus,でんき,ひこう,79,105,70,145,80,101,ちくでん,,
642,ボルトロス,けしんフォルム,Thundurus,でんき,ひこう,79,115,70,125,80,111,いたずらごころ,,*まけんき
643,レシラム,,Reshiram,ドラゴン,ほのお,100,120,100,150,120,90,ターボブレイズ,,
644,ゼクロム,,Zekrom,ドラゴン,でんき,100,150,120,120,100,90,テラボルテージ,,
645,ランドロス,れいじゅうフォルム,Landorus,じめん,ひこう,89,145,90,105,80,91,いかく,,
645,ランドロス,けしんフォルム,Landorus,じめん,ひこう,89,125,90,115,80,101,すなのちから,,*ちからずく
646,キュレム,通常,Kyurem,ドラゴン,こおり,125,130,90,130,90,95,プレッシャー,,
646,キュレム,ホワイトキュレム,Kyurem,ドラゴン,こおり,125,120,90,170,100,95,ターボブレイズ,,
646,キュレム,ブラックキュレム,Kyurem,ドラゴン,こおり,125,170,100,120,90,95,テラボルテージ,,
647,ケルディオ,かくごのすがた,Keldeo,みず,かくとう,91,72,90,129,90,108,せいぎのこころ,,
647,ケルディオ,いつものすがた,Keldeo,みず,かくとう,91,72,90,129,90,108,せいぎのこころ,,
648,メロエッタ,ボイスフォルム,Meloetta,ノーマル,エスパー,100,77,77,128,128,90,てんのめぐみ,,
648,メロエッタ,ステップフォルム,Meloetta,ノーマル,かくとう,100,128,90,77,77,128,てんのめぐみ,,
649,ゲノセクト,,Genesect,むし,はがね,71,120,95,120,95,99,ダウンロード,,
650,ハリマロン,,Chespin,くさ,,56,61,65,48,45,38,しんりょく,,*ぼうだん
651,ハリボーグ,,Quilladin,くさ,,61,78,95,56,58,57,しんりょく,,*ぼうだん
652,ブリガロン,,Chesnaught,くさ,かくとう,88,107,122,74,75,64,しんりょく,,*ぼうだん
653,フォッコ,,Fennekin,ほのお,,40,45,40,62,60,60,もうか,,*マジシャン
654,テールナー,,Braixen,ほのお,,59,59,58,90,70,73,もうか,,*マジシャン
655,マフォクシー,,Delphox,ほのお,エスパー,75,69,72,114,100,104,もうか,,*マジシャン
656,ケロマツ,,Froakie,みず,,41,56,40,62,44,71,げきりゅう,,*へんげんじざい
657,ゲコガシラ,,Frogadier,みず,,54,63,52,83,56,97,げきりゅう,,*へんげんじざい
658,ゲッコウガ,通常,Greninja,みず,あく,72,95,67,103,71,122,げきりゅう,,*へんげんじざい
658,ゲッコウガ,サトシゲッコウガ,Greninja,みず,あく,72,145,67,153,71,132,きずなへんげ,,
659,ホルビー,,Bunnelby,ノーマル,,38,36,38,32,36,57,ものひろい,ほおぶくろ,*ちからもち
660,ホルード,,Diggersby,ノーマル,じめん,85,56,77,50,77,78,ものひろい,ほおぶくろ,*ちからもち
661,ヤヤコマ,,Fletchling,ノーマル,ひこう,45,50,43,40,38,62,はとむね,,*はやてのつばさ
662,ヒノヤコマ,,Fletchinder,ほのお,ひこう,62,73,55,56,52,84,ほのおのからだ,,*はやてのつばさ
663,ファイアロー,,Talonflame,ほのお,ひこう,78,81,71,74,69,126,ほのおのからだ,,*はやてのつばさ
664,コフキムシ,,Scatterbug,むし,,38,35,40,27,25,35,りんぷん,ふくがん,*フレンドガード
665,コフーライ,,Spewpa,むし,,45,22,60,27,30,29,だっぴ,,*フレンドガード
666,ビビヨン,,Vivillon,むし,ひこう,80,52,50,90,50,89,りんぷん,ふくがん,*フレンドガード
667,シシコ,,Litleo,ほのお,ノーマル,62,50,58,73,54,72,とうそうしん,きんちょうかん,*じしんかじょう
668,カエンジシ,,Pyroar,ほのお,ノーマル,86,68,72,109,66,106,とうそうしん,きんちょうかん,*じしんかじょう
669,フラベベ,,Flabebe,フェアリー,,44,38,39,61,79,42,フラワーベール,,*きょうせい
670,フラエッテ,,Floette,フェアリー,,54,45,47,75,98,52,フラワーベール,,*きょうせい
671,フラージェス,,Florges,フェアリー,,78,65,68,112,154,75,フラワーベール,,*きょうせい
672,メェークル,,Skiddo,くさ,,66,65,48,62,57,52,そうしょく,,*くさのけがわ
673,ゴーゴート,,Gogoat,くさ,,123,100,62,97,81,68,そうしょく,,*くさのけがわ
674,ヤンチャム,,Pancham,かくとう,,67,82,62,46,48,43,てつのこぶし,かたやぶり,*きもったま
675,ゴロンダ,,Pangoro,かくとう,あく,95,124,78,69,71,58,てつのこぶし,かたやぶり,*きもったま
676,トリミアン,,Furfrou,ノーマル,,75,80,60,65,90,102,ファーコート,,
677,ニャスパー,,Espurr,エスパー,,62,48,54,63,60,68,するどいめ,すりぬけ,*マイペース
678,ニャオニクス,オスの姿,Meowstic,エスパー,,74,48,76,83,81,104,するどいめ,すりぬけ,*いたずらごころ
678,ニャオニクス,メスの姿,Meowstic,エスパー,,74,48,76,83,81,104,するどいめ,すりぬけ,*かちき
679,ヒトツキ,,Honedge,はがね,ゴースト,45,80,100,35,37,28,ノーガード,,
680,ニダンギル,,Doublade,はがね,ゴースト,59,110,150,45,49,35,ノーガード,,
681,ギルガルド,ブレードフォルム,Aegislash,はがね,ゴースト,60,140,50,140,50,60,バトルスイッチ,,
681,ギルガルド,シールドフォルム,Aegislash,はがね,ゴースト,60,50,140,50,140,60,バトルスイッチ,,
682,シュシュプ,,Spritzee,フェアリー,,78,52,60,63,65,23,いやしのこころ,,*アロマベール
